Price,Close
Ticker,DSY.PA
Date,
2021-03-04,33.3305
2021-03-05,32.8533
2021-03-08,32.6585
2021-03-09,33.5351
2021-03-10,33.6617
2021-03-11,34.6941
2021-03-12,33.7299
2021-03-15,33.9441
2021-03-16,34.5578
2021-03-17,34.5578
2021-03-18,34.2753
2021-03-19,34.5578
2021-03-22,35.2006
2021-03-23,35.4539
2021-03-24,35.1032
2021-03-25,35.1422
2021-03-26,35.5513
2021-03-29,35.5318
2021-03-30,35.2298
2021-03-31,35.5318
2021-04-01,36.4766
2021-04-06,36.5642
2021-04-07,36.3499
2021-04-08,36.9441
2021-04-09,37.2558
2021-04-12,36.7103
2021-04-13,37.1876
2021-04-14,37.1584
2021-04-15,37.2558
2021-04-16,37.2947
2021-04-19,37.4019
2021-04-20,37.1291
2021-04-21,37.5382
2021-04-22,38.0058
2021-04-23,38.1519
2021-04-26,37.9084
2021-04-27,37.8889
2021-04-28,38.0058
2021-04-29,38.0837
2021-04-30,37.5869
2021-05-03,37.5869
2021-05-04,36.4279
2021-05-05,36.8759
2021-05-06,36.4376
2021-05-07,36.7298
2021-05-10,36.1551
2021-05-11,35.9603
2021-05-12,35.4441
2021-05-13,35.8629
2021-05-14,36.0675
2021-05-17,35.7655
2021-05-18,35.7461
2021-05-19,35.561
2021-05-20,36.3305
2021-05-21,36.4084
2021-05-24,36.7298
2021-05-25,36.8564
2021-05-26,36.9928
2021-05-27,36.3402
2021-05-28,36.8795
2021-05-31,36.7818
2021-06-01,36.6157
2021-06-02,36.4985
2021-06-03,36.1175
2021-06-04,36.5669
2021-06-07,36.2054
2021-06-08,36.6548
2021-06-09,36.9479
2021-06-10,36.9186
2021-06-11,37.5731
2021-06-14,37.9932
2021-06-15,38.0127
2021-06-16,38.3253
2021-06-17,38.4035
2021-06-18,38.5403
2021-06-21,38.7357
2021-06-22,39.1753
2021-06-23,39.1362
2021-06-24,40.1131
2021-06-25,39.9764
2021-06-28,40.3671
2021-06-29,39.9764
2021-06-30,39.9568
2021-07-01,39.8787
2021-07-02,40.3476
2021-07-05,40.289
2021-07-06,41.0705
2021-07-07,41.559
2021-07-08,41.5932
2021-07-09,41.6421
2021-07-12,42.1647
2021-07-13,42.5701
2021-07-14,42.7802
2021-07-15,42.4431
2021-07-16,42.5946
2021-07-19,42.6288
2021-07-20,42.1794
2021-07-21,42.2478
2021-07-22,43.3273
2021-07-23,43.4299
2021-07-26,43.3517
2021-07-27,43.9232
2021-07-28,45.2176
2021-07-29,44.905
2021-07-30,45.4472
2021-08-02,45.8575
2021-08-03,46.0725
2021-08-04,46.4242
2021-08-05,46.8785
2021-08-06,46.9615
2021-08-09,46.854
2021-08-10,47.0592
2021-08-11,46.9713
2021-08-12,47.1178
2021-08-13,46.7856
2021-08-16,46.5561
2021-08-17,46.7368
2021-08-18,46.6489
2021-08-19,46.6977
2021-08-20,46.9224
2021-08-23,47.362
2021-08-24,47.3132
2021-08-25,47.3816
2021-08-26,47.3327
2021-08-27,47.616
2021-08-30,47.616
2021-08-31,47.1911
2021-09-01,48.0215
2021-09-02,47.8896
2021-09-03,47.6649
2021-09-06,47.9824
2021-09-07,47.9433
2021-09-08,47.4353
2021-09-09,47.9775
2021-09-10,47.3767
2021-09-13,46.8394
2021-09-14,47.7528
2021-09-15,48.0703
2021-09-16,49.2378
2021-09-17,48.8568
2021-09-20,48.7493
2021-09-21,49.7653
