Price,Close
Ticker,WIT
Date,
2021-03-04,3.0519
2021-03-05,3.0235
2021-03-08,2.9524
2021-03-09,3.0709
2021-03-10,3.104
2021-03-11,3.1893
2021-03-12,3.0993
2021-03-15,3.1088
2021-03-16,3.1467
2021-03-17,3.0756
2021-03-18,2.9808
2021-03-19,3.0235
2021-03-22,3.0614
2021-03-23,3.0235
2021-03-24,3.0045
2021-03-25,2.9666
2021-03-26,3.0377
2021-03-29,2.9808
2021-03-30,3.0282
2021-03-31,3.0045
2021-04-01,3.0803
2021-04-05,3.0993
2021-04-06,3.0946
2021-04-07,3.0993
2021-04-08,3.123
2021-04-09,3.1846
2021-04-12,3.0235
2021-04-13,2.9666
2021-04-14,2.8908
2021-04-15,3.1088
2021-04-16,3.2983
2021-04-19,3.2983
2021-04-20,3.2983
2021-04-21,3.322
2021-04-22,3.3979
2021-04-23,3.3979
2021-04-26,3.4073
2021-04-27,3.4216
2021-04-28,3.4168
2021-04-29,3.4642
2021-04-30,3.3931
2021-05-03,3.4121
2021-05-04,3.3789
2021-05-05,3.431
2021-05-06,3.5637
2021-05-07,3.5827
2021-05-10,3.6016
2021-05-11,3.5779
2021-05-12,3.4547
2021-05-13,3.4832
2021-05-14,3.5021
2021-05-17,3.4642
2021-05-18,3.5306
2021-05-19,3.54
2021-05-20,3.5827
2021-05-21,3.5732
2021-05-24,3.6206
2021-05-25,3.6064
2021-05-26,3.7106
2021-05-27,3.7533
2021-05-28,3.758
2021-06-01,3.7959
2021-06-02,3.8433
2021-06-03,3.7959
2021-06-04,3.8338
2021-06-07,3.8812
2021-06-08,3.886
2021-06-09,3.867
2021-06-10,3.9049
2021-06-11,3.9191
2021-06-14,3.9097
2021-06-15,3.8765
2021-06-16,3.8386
2021-06-17,3.8149
2021-06-18,3.7154
2021-06-21,3.7628
2021-06-22,3.8244
2021-06-23,3.6917
2021-06-24,3.7296
2021-06-25,3.7106
2021-06-28,3.7296
2021-06-29,3.7201
2021-06-30,3.7012
2021-07-01,3.6538
2021-07-02,3.6775
2021-07-06,3.6348
2021-07-07,3.6348
2021-07-08,3.5732
2021-07-09,3.6159
2021-07-12,3.6016
2021-07-13,3.5685
2021-07-14,3.7722
2021-07-15,3.8291
2021-07-16,3.8623
2021-07-19,3.8244
2021-07-20,3.8907
2021-07-21,3.9239
2021-07-22,3.9571
2021-07-23,4.0518
2021-07-26,3.9618
2021-07-27,3.9571
2021-07-28,3.9997
2021-07-29,3.9808
2021-07-30,3.9476
2021-08-02,3.9808
2021-08-03,4.0613
2021-08-04,4.0424
2021-08-05,4.0613
2021-08-06,4.0187
2021-08-09,4.0234
2021-08-10,4.0518
2021-08-11,4.0424
2021-08-12,4.1229
2021-08-13,4.1987
2021-08-16,4.194
2021-08-17,4.2319
2021-08-18,4.1987
2021-08-19,4.1845
2021-08-20,4.213
2021-08-23,4.3077
2021-08-24,4.2793
2021-08-25,4.3125
2021-08-26,4.2651
2021-08-27,4.3267
2021-08-30,4.3551
2021-08-31,4.4262
2021-09-01,4.4262
2021-09-02,4.4973
2021-09-03,4.5494
2021-09-07,4.5684
2021-09-08,4.4594
2021-09-09,4.4641
2021-09-10,4.4831
2021-09-13,4.5115
2021-09-14,4.5257
2021-09-15,4.5684
2021-09-16,4.4878
2021-09-17,4.4262
2021-09-20,4.393
2021-09-21,4.4594
2021-09-22,4.4973
2021-09-23,4.5873
2021-09-24,4.5447
2021-09-27,4.3362
2021-09-28,4.1845
2021-09-29,4.213
2021-09-30,4.1845
2021-10-01,4.2367
2021-10-04,4.194
2021-10-05,4.2414
2021-10-06,4.1703
2021-10-07,4.2272
2021-10-08,4.1798
2021-10-11,4.1845
2021-10-12,4.2272
2021-10-13,4.5352
2021-10-14,4.6253
2021-10-15,4.6963
2021-10-18,4.6821
2021-10-19,4.7153
2021-10-20,4.6205
2021-10-21,4.5637
2021-10-22,4.5115
2021-10-25,4.3978
2021-10-26,4.3551
2021-10-27,4.3457
2021-10-28,4.322
2021-10-29,4.2461
2021-11-01,4.2509
2021-11-02,4.2888
2021-11-03,4.2793
2021-11-04,4.2556
2021-11-05,4.2509
2021-11-08,4.3599
2021-11-09,4.303
2021-11-10,4.2224
2021-11-11,4.2367
2021-11-12,4.3362
2021-11-15,4.2888
2021-11-16,4.3077
2021-11-17,4.3077
2021-11-18,4.2461
2021-11-19,4.2604
2021-11-22,4.1324
2021-11-23,4.1466
2021-11-24,4.1371
2021-11-26,3.9713
2021-11-29,4.0566
2021-11-30,4.0471
2021-12-01,3.995
