Price,Close
Ticker,ORAN
Date,
2021-03-04,6.9798
2021-03-05,7.0368
2021-03-08,7.0881
2021-03-09,7.0696
2021-03-10,7.2706
2021-03-11,7.2599
2021-03-12,7.2991
2021-03-15,7.3668
2021-03-16,7.4096
2021-03-17,7.4453
2021-03-18,7.4702
2021-03-19,7.456
2021-03-22,7.4738
2021-03-23,7.5237
2021-03-24,7.431
2021-03-25,7.4132
2021-03-26,7.4524
2021-03-29,7.5486
2021-03-30,7.5272
2021-03-31,7.488
2021-04-01,7.4617
2021-04-06,7.4517
2021-04-07,7.4873
2021-04-08,7.5272
2021-04-09,7.4659
2021-04-12,7.3733
2021-04-13,7.2949
2021-04-14,7.2906
2021-04-15,7.2906
2021-04-16,7.3775
2021-04-19,7.4488
2021-04-20,7.4745
2021-04-21,7.4716
2021-04-22,7.3505
2021-04-23,7.3462
2021-04-26,7.349
2021-04-27,7.3661
2021-04-28,7.4289
2021-04-29,7.4018
2021-04-30,7.3775
2021-05-03,7.3989
2021-05-04,7.4431
2021-05-05,7.446
2021-05-06,7.4802
2021-05-07,7.4716
2021-05-10,7.5557
2021-05-11,7.3804
2021-05-12,7.4731
2021-05-13,7.4688
2021-05-14,7.5258
2021-05-17,7.6156
2021-05-18,7.5044
2021-05-19,7.3975
2021-05-20,7.426
2021-05-21,7.5073
2021-05-24,7.5101
2021-05-25,7.4417
2021-05-26,7.4317
2021-05-27,7.4146
2021-05-28,7.4674
2021-05-31,7.4203
2021-06-01,7.4474
2021-06-02,7.5272
2021-06-03,7.5201
2021-06-04,7.4944
2021-06-07,7.4987
2021-06-08,7.4859
2021-06-09,7.5472
2021-06-10,7.4488
2021-06-11,7.4217
2021-06-14,7.4488
2021-06-15,7.5701
2021-06-16,7.5207
2021-06-17,7.4997
2021-06-18,7.4039
2021-06-21,7.4144
2021-06-22,7.4234
2021-06-23,7.2295
2021-06-24,7.2018
2021-06-25,7.1928
2021-06-28,7.1636
2021-06-29,7.1591
2021-06-30,7.198
2021-07-01,7.2347
2021-07-02,7.1905
2021-07-05,7.1846
2021-07-06,7.1374
2021-07-07,7.0618
2021-07-08,7.0131
2021-07-09,7.1007
2021-07-12,7.1808
2021-07-13,7.2018
2021-07-14,7.1823
2021-07-15,7.1351
2021-07-16,7.1816
2021-07-19,7.0101
2021-07-20,7.0131
2021-07-21,7.1007
2021-07-22,7.0835
2021-07-23,7.1299
2021-07-26,7.204
2021-07-27,7.2317
2021-07-28,7.207
2021-07-29,6.9719
2021-07-30,7.0333
2021-08-02,7.0708
2021-08-03,7.1179
2021-08-04,7.0947
2021-08-05,7.0895
2021-08-06,7.1299
2021-08-09,7.1389
2021-08-10,7.1307
2021-08-11,7.1486
2021-08-12,7.1658
2021-08-13,7.2063
2021-08-16,7.1898
2021-08-17,7.1995
2021-08-18,7.2587
2021-08-19,7.2534
2021-08-20,7.3515
2021-08-23,7.332
2021-08-24,7.3088
2021-08-25,7.3073
2021-08-26,7.2572
2021-08-27,7.2459
2021-08-30,7.2452
2021-08-31,7.2018
2021-09-01,7.2212
2021-09-02,7.1786
2021-09-03,7.1486
2021-09-06,7.1381
2021-09-07,7.1224
2021-09-08,7.1464
2021-09-09,7.0857
2021-09-10,7.0034
2021-09-13,7.0498
2021-09-14,7.0333
2021-09-15,7.0139
2021-09-16,6.9675
2021-09-17,7.0019
2021-09-20,6.9435
2021-09-21,6.9517
2021-09-22,7.0019
2021-09-23,6.9832
2021-09-24,6.9847
2021-09-27,7.061
2021-09-28,7.0393
2021-09-29,7.0386
2021-09-30,7.0011
2021-10-01,6.9472
2021-10-04,7.0079
2021-10-05,7.0408
2021-10-06,6.9817
2021-10-07,7.0446
2021-10-08,7.073
2021-10-11,7.073
2021-10-12,7.0648
2021-10-13,7.0393
2021-10-14,7.0932
2021-10-15,7.1209
2021-10-18,7.1015
2021-10-19,7.0633
2021-10-20,7.1748
2021-10-21,7.1965
2021-10-22,7.2362
2021-10-25,7.1905
2021-10-26,7.07
2021-10-27,7.1232
2021-10-28,7.0625
2021-10-29,7.0633
2021-11-01,7.1569
2021-11-02,7.1441
2021-11-03,7.1254
2021-11-04,7.1104
2021-11-05,7.204
2021-11-08,7.1853
2021-11-09,7.2265
2021-11-10,7.3575
2021-11-11,7.3717
2021-11-12,7.3829
2021-11-15,7.3717
2021-11-16,7.344
2021-11-17,7.3246
2021-11-18,7.3216
2021-11-19,7.2317
2021-11-22,7.3785
2021-11-23,7.4406
2021-11-24,7.4316
2021-11-25,7.4144
2021-11-26,7.2362
2021-11-29,7.1898
2021-11-30,7.1194
2021-12-01,7.1973
2021-12-02,6.9637
2021-12-03,6.9016
2021-12-06,6.939
2021-12-07,6.945
2021-12-08,6.9031
2021-12-09,6.8649
2021-12-10,6.9061
2021-12-13,6.961
2021-12-14,7.1111
2021-12-15,7.0987
2021-12-16,7.1351
2021-12-17,7.2001
2021-12-20,7.1653
2021-12-21,7.2303
2021-12-22,7.2527
2021-12-23,7.2342
2021-12-24,7.2612
2021-12-27,7.252
2021-12-28,7.2891
2021-12-29,7.2945
2021-12-30,7.2937
2021-12-31,7.2837
2022-01-03,7.2922
2022-01-04,7.3433
2022-01-05,7.3123
2022-01-06,7.2984
2022-01-07,7.2961
2022-01-10,7.4508
2022-01-11,7.498
2022-01-12,7.5429
2022-01-13,7.6466
2022-01-14,7.7124
2022-01-17,7.6922
2022-01-18,7.7185
2022-01-19,7.7023
2022-01-20,7.6729
2022-01-21,7.6582
2022-01-24,7.7271
2022-01-25,7.8462
2022-01-26,7.8571
2022-01-27,7.9901
2022-01-28,8.1031
2022-01-31,8.0629
