Price,Close
Ticker,CTTAY
Date,
2021-03-04,12.9837
2021-03-05,13.0275
2021-03-08,13.4214
2021-03-09,12.4672
2021-03-10,12.1257
2021-03-11,11.9681
2021-03-12,12.0907
2021-03-15,11.8806
2021-03-16,12.2133
2021-03-17,12.6948
2021-03-18,12.6072
2021-03-19,12.4759
2021-03-22,12.0557
2021-03-23,11.8105
2021-03-24,11.4691
2021-03-25,11.6004
2021-03-26,11.5917
2021-03-29,11.5917
2021-03-30,11.6880
2021-03-31,11.6967
2021-04-01,11.8543
2021-04-05,12.0819
2021-04-06,11.9681
2021-04-07,11.9156
2021-04-08,11.8193
2021-04-09,11.6354
2021-04-12,11.7405
2021-04-13,11.9594
2021-04-14,11.9944
2021-04-15,12.0206
2021-04-16,12.3884
2021-04-19,12.0644
2021-04-20,11.8368
2021-04-21,11.9156
2021-04-22,12.1520
2021-04-23,12.5284
2021-04-26,12.5022
2021-04-27,12.5722
2021-04-28,12.5897
2021-04-29,12.0732
2021-04-30,11.8631
2021-05-03,11.9681
2021-05-04,11.6792
2021-05-05,11.7930
2021-05-06,11.9068
2021-05-07,12.2745
2021-05-10,12.1170
2021-05-11,12.1170
2021-05-12,11.9243
2021-05-13,12.0031
2021-05-14,12.2921
2021-05-17,12.2921
2021-05-18,12.4496
2021-05-19,12.1520
2021-05-20,12.2570
2021-05-21,12.5547
2021-05-24,12.6685
2021-05-25,12.7911
2021-05-26,12.7648
2021-05-27,13.0275
2021-05-28,13.0712
2021-06-01,13.5002
2021-06-02,13.6403
2021-06-03,13.7717
2021-06-04,13.7892
2021-06-07,14.1219
2021-06-08,14.0518
2021-06-09,13.8855
2021-06-10,13.8067
2021-06-11,13.8855
2021-06-14,13.7629
2021-06-15,13.6841
2021-06-16,13.3777
2021-06-17,13.2376
2021-06-18,13.0362
2021-06-21,13.4915
2021-06-22,13.4477
2021-06-23,13.3602
2021-06-24,13.4477
2021-06-25,13.4390
2021-06-28,13.1588
2021-06-29,13.3164
2021-06-30,12.9224
2021-07-01,13.0537
2021-07-02,13.0450
2021-07-06,12.4584
2021-07-07,12.4409
2021-07-08,12.1257
2021-07-09,12.3884
