Price,Close
Ticker,SAN.MC
Date,
2021-03-04,2.4635
2021-03-05,2.4953
2021-03-08,2.5577
2021-03-09,2.4899
2021-03-10,2.4798
2021-03-11,2.4447
2021-03-12,2.4899
2021-03-15,2.4543
2021-03-16,2.4405
2021-03-17,2.451
2021-03-18,2.5004
2021-03-19,2.4208
2021-03-22,2.3802
2021-03-23,2.3948
2021-03-24,2.4095
2021-03-25,2.3911
2021-03-26,2.425
2021-03-29,2.3982
2021-03-30,2.4631
2021-03-31,2.4258
2021-04-01,2.4141
2021-04-06,2.4489
2021-04-07,2.4702
2021-04-08,2.4468
2021-04-09,2.4309
2021-04-12,2.4346
2021-04-13,2.4116
2021-04-14,2.4355
2021-04-15,2.3777
2021-04-16,2.4066
2021-04-19,2.4828
2021-04-20,2.3877
2021-04-21,2.3588
2021-04-22,2.3827
2021-04-23,2.384
2021-04-26,2.4401
2021-04-27,2.5623
2021-04-28,2.6314
2021-04-29,2.6779
2021-04-30,2.7155
2021-05-03,2.7003
2021-05-04,2.6682
2021-05-05,2.7239
2021-05-06,2.7184
2021-05-07,2.7163
2021-05-10,2.7923
2021-05-11,2.745
2021-05-12,2.7767
2021-05-13,2.7568
2021-05-14,2.832
2021-05-17,2.8134
2021-05-18,2.8468
2021-05-19,2.7809
2021-05-20,2.8025
2021-05-21,2.846
2021-05-24,2.8367
2021-05-25,2.8502
2021-05-26,2.8333
2021-05-27,2.9118
2021-05-28,2.9144
2021-05-31,2.892
2021-06-01,2.9376
2021-06-02,2.9351
2021-06-03,2.9612
2021-06-04,2.9076
2021-06-07,2.9232
2021-06-08,2.8705
2021-06-09,2.8557
2021-06-10,2.9106
2021-06-11,2.9009
2021-06-14,2.9034
2021-06-15,2.8937
2021-06-16,2.8413
2021-06-17,2.8396
2021-06-18,2.7775
2021-06-21,2.7704
2021-06-22,2.7767
2021-06-23,2.7666
2021-06-24,2.8025
2021-06-25,2.8341
2021-06-28,2.7556
2021-06-29,2.7653
2021-06-30,2.7193
2021-07-01,2.7784
2021-07-02,2.7218
2021-07-05,2.7581
2021-07-06,2.6707
2021-07-07,2.6563
2021-07-08,2.5824
2021-07-09,2.6432
2021-07-12,2.6513
2021-07-13,2.6044
2021-07-14,2.6217
2021-07-15,2.6361
2021-07-16,2.566
2021-07-19,2.4785
2021-07-20,2.4954
2021-07-21,2.593
2021-07-22,2.6002
2021-07-23,2.6403
2021-07-26,2.6935
2021-07-27,2.6652
2021-07-28,2.5841
2021-07-29,2.6504
2021-07-30,2.6078
2021-08-02,2.5896
2021-08-03,2.6209
2021-08-04,2.6483
2021-08-05,2.6606
2021-08-06,2.7252
2021-08-09,2.7324
2021-08-10,2.7539
2021-08-11,2.7835
2021-08-12,2.7666
2021-08-13,2.7564
2021-08-16,2.7036
2021-08-17,2.6542
2021-08-18,2.6661
2021-08-19,2.5951
2021-08-20,2.5981
2021-08-23,2.6365
2021-08-24,2.6302
2021-08-25,2.7028
2021-08-26,2.6656
