Price,Close
Ticker,TEF.MC
Date,
2021-03-04,2.5804
2021-03-05,2.6178
2021-03-08,2.6368
2021-03-09,2.5872
2021-03-10,2.6749
2021-03-11,2.6973
2021-03-12,2.717
2021-03-15,2.7645
2021-03-16,2.7829
2021-03-17,2.7801
2021-03-18,2.8005
2021-03-19,2.7414
2021-03-22,2.7054
2021-03-23,2.7428
2021-03-24,2.719
2021-03-25,2.7088
2021-03-26,2.7353
2021-03-29,2.6334
2021-03-30,2.6069
2021-03-31,2.5927
2021-04-01,2.5689
2021-04-06,2.5675
2021-04-07,2.5852
2021-04-08,2.5933
2021-04-09,2.5811
2021-04-12,2.5879
2021-04-13,2.5383
2021-04-14,2.5376
2021-04-15,2.5095
2021-04-16,2.5485
2021-04-19,2.556
2021-04-20,2.503
2021-04-21,2.5152
2021-04-22,2.5088
2021-04-23,2.4915
2021-04-26,2.5618
2021-04-27,2.5849
2021-04-28,2.6103
2021-04-29,2.6117
2021-04-30,2.6175
2021-05-03,2.6185
2021-05-04,2.6528
2021-05-05,2.6735
2021-05-06,2.6993
2021-05-07,2.6572
2021-05-10,2.7628
2021-05-11,2.6823
2021-05-12,2.6735
2021-05-13,2.6613
2021-05-14,2.7244
2021-05-17,2.8189
2021-05-18,2.8165
2021-05-19,2.827
2021-05-20,2.8114
2021-05-21,2.8396
2021-05-24,2.829
2021-05-25,2.8029
2021-05-26,2.81
2021-05-27,2.7472
2021-05-28,2.739
2021-05-31,2.7306
2021-06-01,2.7616
2021-06-02,2.7413
2021-06-03,2.7684
2021-06-04,2.7291
2021-06-07,2.7831
2021-06-08,2.817
2021-06-09,2.8341
2021-06-10,2.9281
2021-06-11,2.9145
2021-06-14,2.9377
2021-06-15,2.9192
2021-06-16,2.9002
2021-06-17,2.8838
2021-06-18,2.8334
2021-06-21,2.8449
2021-06-22,2.8484
2021-06-23,2.7816
2021-06-24,2.8077
2021-06-25,2.8077
2021-06-28,2.7481
2021-06-29,2.7938
2021-06-30,2.8156
2021-07-01,2.8316
2021-07-02,2.8245
2021-07-05,2.7949
2021-07-06,2.7231
2021-07-07,2.6948
2021-07-08,2.6602
2021-07-09,2.6891
2021-07-12,2.7113
2021-07-13,2.6959
2021-07-14,2.6898
2021-07-15,2.6366
2021-07-16,2.6545
2021-07-19,2.5952
2021-07-20,2.602
2021-07-21,2.6473
2021-07-22,2.6505
2021-07-23,2.6866
2021-07-26,2.7256
2021-07-27,2.7284
2021-07-28,2.7252
2021-07-29,2.7027
2021-07-30,2.762
2021-08-02,2.8088
2021-08-03,2.8888
2021-08-04,2.8988
2021-08-05,2.8956
